source,title,url,bug_location,body,Functional Bug Symtoms,cwe_id,cwe_name,reasoning,state,root_cause,impact,id,number,created_at,closed_at,labels,error
avalanchego,Failed to Repair ProposerVM Height after C-Chain State Sync on Fuji,https://github.com/ava-labs/avalanchego/issues/3948,Storage,"Hitting this error after state syncing the C-Chain on Fuji:

```
[05-07|19:46:09.772] FATAL <C Chain> handler/handler.go:312 shutting down chain {""reason"": ""received an unexpected error"", ""error"": ""failed to notify VM that bootstrapping has started: failed to repair accepted chain height: proposervm height index (40288256) should never be lower than the inner height index (40297478) while processing sync message: get_accepted_state_summary_failed from NodeID-PT9g4vX1UAEE869Fed3kMFNR6Xjyx3RPb""}
```

After restart it fails a second time with:

```
[05-07|19:49:48.180] FATAL chains/manager.go:392 error creating required chain {""subnetID"": ""11111111111111111111111111111111LpoYY"", ""chainID"": ""yH8D7ThNJkxmtkuv2jgBa4P1Rn3Qpr4pPr7QYNfcdoS6k6HWp"", ""vmID"": ""mgj786NP7uDwBCcq6YwThhaN8FLyybkCa4zBWTQbNgmK6k9A6"", ""error"": ""error while creating new snowman vm failed to repair accepted chain by height: proposervm height index (40288256) should never be lower than the inner height index (40297478)""}
```

This appears to be hitting the same underlying error on two paths (`SetState` at the end of state sync and `Initialize` on restart).

The actual error occurs here: https://github.com/ava-labs/avalanchego/blob/a90944df3fc8a413e5cf14d7ba0c305899d47834/vms/proposervm/vm.go#L466

This indicates that the ProposerVM and Coreth end up breaking an invariant that the ProposerVM's last accepted height _must_ always be >= the inner VM's last accepted height.

Likely related to https://github.com/ava-labs/avalanchego/pull/3831",storage: storage corruption,CWE-682,Incorrect Calculation,"The bug report describes a fatal error where an invariant is violated: the `proposervm height index` is found to be lower than the `inner height index`. These heights are numerical values that represent the state of different virtual machines. The error occurs after a 'state sync' operation, which is a process to update the local node's state. The fact that these two height values are inconsistent implies that at least one of them was calculated incorrectly during the state sync process. This directly aligns with CWE-682, 'Incorrect Calculation', where the product performs a calculation that generates incorrect results (the inconsistent heights), leading to a critical failure (shutdown to prevent storage corruption). CWE-754, 'Improper Check for Unusual or Exceptional Conditions', is not suitable because the system *does* check for this exceptional condition and correctly halts. The check itself is not the flaw; the underlying state is. CWE-20, 'Improper Input Validation', is less fitting because the issue is presented as a broken invariant between internal components, pointing to a flaw in internal state computation rather than a failure to validate external data.",closed,"The ProposerVM's last accepted height is incorrectly set to a value less than the inner VM's last accepted height, violating the invariant that it must always be greater than or equal.","This bug can lead to a chain shutdown and prevent the proper functioning of the C-Chain, resulting in potential service disruptions and inconsistencies in state management during synchronization.",3049236207,3948,"May 8, 2025 2:47 PM (GMT+8)","May 16, 2025 12:16 AM (GMT+8)",['bug'],
avalanchego,Unusual disk usage when bootstrapping from scratch with v1.11.6,https://github.com/ava-labs/avalanchego/issues/3060,Storage,"**Describe the bug**
I'm observing erratic disk usage while bootstrapping from scratch using the latest v1.11.6. The configuration file is provided below, and state-sync is enabled.

The last time I performed this operation, it completed in less than 48 hours. The attached screen captures show the disk usage differences between v1.11.5 and v1.11.6.

Notably, the configuration and server specifications are identical for both runs, with the only variable being the avalanchego version. The server specs are as follows:
- 16 vCPU cores
- 32GB RAM
- 400GiB SSD NVMe
- location: France

Please see the screen captures and configuration file below for further details.

**To Reproduce**
Start a new instance with an empty database with the following C-Chain configuration:
```json
{
    ""state-sync-enabled"": true
}
```

**Expected behavior**

Reduced synchronization time and, more importantly, lower disk usage. As shown in the screenshot, there was a spike exceeding 80%.
This issue might be related to a Core-ETH bug that I've already reported. Here is the fix: https://github.com/ava-labs/coreth/pull/565

**Screenshots**
Here is a screenshot of the disk usage from a bootstrap I performed two weeks ago using v1.11.5:
![avalanchego-v1 11 5](https://github.com/ava-labs/avalanchego/assets/135046224/425c6fe9-f5fe-42a4-8ebf-84f4eebf98b2)

Here is a screenshot of the disk usage from the current bootstrap with the v1.11.6:
![avalanchego-v1 11 6](https://github.com/ava-labs/avalanchego/assets/135046224/a22a77f1-9300-479a-94d9-254aac121e2b)

**Logs**
Please find attached the log file.

**Metrics**
Please find attached the metrics.log

**Operating System**
Ubuntu 22.04 LTS

**To best protect the Avalanche community security bugs should be reported in accordance to our [Security Policy](../security/policy)**
[metrics.log](https://github.com/ava-labs/avalanchego/files/15501523/metrics.log)
",general: general performance degradation,CWE-459,Incomplete Cleanup,"The bug report describes an issue of 'unusual disk usage' and a 'spike exceeding 80%' during a bootstrapping process. The user explicitly links to a pull request for a fix titled 'fix: Prune expired trie nodes during state sync'. This title strongly indicates that the problem stems from a failure to remove data that is no longer needed ('expired trie nodes') during the operation. This directly aligns with the definition of CWE-459: 'Incomplete Cleanup', which states that 'The product does not properly clean up and remove temporary or supporting resources after they have been used.' The expired nodes are supporting resources that are not being cleaned up, leading to excessive disk consumption. 

CWE-400, 'Uncontrolled Resource Consumption', is a broader category that describes the symptom (high disk usage) but not the specific cause. CWE-459 is more precise because it identifies the root cause as a failure in the cleanup process. 

CWE-404, 'Improper Resource Shutdown or Release', is less applicable as it typically refers to resources like file handles or network connections, not the persistent data files that are accumulating on the disk due to a lack of cleanup.",closed,"The issue appears to stem from an inefficient resource management during the bootstrapping process in version v1.11.6, leading to unexpected spikes in disk usage.","The erratic disk usage can lead to resource exhaustion, potentially affecting the performance and reliability of the node, resulting in longer synchronization times and increased operational costs.",2325862668,3060,"May 30, 2024 2:47 PM (GMT+8)","May 31, 2024 11:25 PM (GMT+8)","['bug', 'storage']",
avalanchego,API returns wrong control keys data after subnet ownership transfer,https://github.com/ava-labs/avalanchego/issues/3012,API,"**Describe the bug**
When subnet ownership has been transferred over, `platform.getSubnets()` API call shows the old data unless selecting for the subent specifically using the `ids` param.

**To Reproduce**
Curl-ing with a payload of:
```json
{
    ""jsonrpc"": ""2.0"",
    ""method"": ""platform.getSubnets"",
    ""params"": {},
    ""id"": 1
}
```
gives the list of all the subnets, among others it has:
```json
            {
                ""id"": ""HDHyjxQi3fnMDmuEGZzEx33rbGe6Yz1dz2WGgEit6jEuTbxdj"",
                ""controlKeys"": [
                    ""P-fuji1ywzvrftfqexh5g6qa9zyrytj6pqdfetza2hqln""
                ],
                ""threshold"": ""1""
            },
```
But calling with
```json
{
    ""jsonrpc"": ""2.0"",
    ""method"": ""platform.getSubnets"",
    ""params"": {""ids"":[""HDHyjxQi3fnMDmuEGZzEx33rbGe6Yz1dz2WGgEit6jEuTbxdj""]},
    ""id"": 1
}
```
returns the correct control key:
```json
            {
                ""id"": ""HDHyjxQi3fnMDmuEGZzEx33rbGe6Yz1dz2WGgEit6jEuTbxdj"",
                ""controlKeys"": [
                    ""P-fuji1mlhaxu92c5p57ce56trsc7eha6cflh20cfy4gn""
                ],
                ""threshold"": ""1""
            }
```
**Expected behavior**
The API call should return the correct data in both cases.

**Operating System**
Node running on Ubuntu. Version info:
```json
{
    ""jsonrpc"": ""2.0"",
    ""result"": {
        ""version"": ""avalanchego/1.11.4"",
        ""databaseVersion"": ""v1.4.5"",
        ""rpcProtocolVersion"": ""35"",
        ""gitCommit"": ""e8904ae11aa144ae601bb9795682d11c3fb178ee"",
        ""vmVersions"": {
            ""avm"": ""v1.11.4"",
            ""evm"": ""v0.13.2"",
            ""platform"": ""v1.11.4""
        }
    },
    ""id"": 1
}
```
",api: incorrect api output,CWE-672,Operation on a Resource after Expiration or Release,"The bug report describes a scenario where an API endpoint, `platform.getSubnets`, returns stale data after a state change (subnet ownership transfer). Specifically, a general query returns the old `controlKeys`, while a more specific query returns the correct, new `controlKeys`. This indicates the system is using an outdated representation of the subnet's state. This directly maps to CWE-672: Operation on a Resource after Expiration or Release. The 'resource' is the subnet's ownership data (the `controlKeys`). After the transfer, the old data is 'expired'. The API call that returns this old data is performing an 'operation on a resource after expiration'.

CWE-459 (Incomplete Cleanup) is a possible cause, as the stale data might exist due to a failure to invalidate a cache (a form of incomplete cleanup). However, CWE-672 describes the direct consequence and the nature of the bug itself—the *use* of the expired data—which is what is reported. 

CWE-662 (Improper Synchronization) is less suitable because the bug report describes a consistent failure for a specific API call path, not the intermittent or unpredictable behavior characteristic of a race condition or synchronization issue.",closed,"The API does not properly update or validate the state of the subnet ownership transfer, leading to stale data being returned for the control keys until a specific subnet ID is queried.","Users may receive outdated or incorrect control keys information, potentially leading to unauthorized access or management issues regarding the subnets, affecting overall trust and reliability in the API.",2290044968,3012,"May 10, 2024 4:29 PM (GMT+8)","May 30, 2024 1:35 AM (GMT+8)",['bug'],
avalanchego,RPC call: the method debug_traceBlockByNumber does not exist/is not available,https://github.com/ava-labs/avalanchego/issues/2939,API,"**Describe the bug**
Editing the config file of the chain appears to have no effect.

In this case, setting the value of `eth-apis` to include `debug-tracer` does nothing.

Here is the file configs/chains/ourChainName/config.json:

```
{
    ""eth-apis"": [
        ""eth"",
        ""eth-filter"",
        ""net"",
        ""web3"",
        ""internal-eth"",
        ""internal-blockchain"",
        ""internal-transaction"",
        ""debug-tracer""
    ],
    ""http-host"": """",
    ""http-port"": 9123,
    ""network-id"": ""fuji"",
    ""public-ip"": ""ommited"",
    ""staking-port"": 9122,
    ""state-sync-enabled"": true,
    ""track-subnets"": ""ommited""
}
```

Here is an example, when running:
```
curl http://127.0.0.1:9123/ext/bc/23SUgLgnzQcai7ceCSnKcWQieQwkUsUpM8HrfSVG4Mk5tof8Tp/rpc \
  -X POST \
  -H ""Content-Type: application/json"" \
  --data '{""method"":""debug_traceTransaction"",""params"":[""0x154bbe502added59dd0dfc4198fe584a85abdfcc7a0c842aa43b9b75cb62b154"", {}],""id"":1,""jsonrpc"":""2.0""}'
```
outputs, on any node (all of them have debug-tracer on the config):
```
{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32601,""message"":""the method debug_traceTransaction does not exist/is not available""}}
```

another example:
```
curl http://127.0.0.1:9123/ext/bc/23SUgLgnzQcai7ceCSnKcWQieQwkUsUpM8HrfSVG4Mk5tof8Tp/rpc \
  -X POST \
  -H ""Content-Type: application/json"" \
  --data '{""method"":""debug_traceBlockByNumber"",""params"":[""0xc"", {}],""id"":1,""jsonrpc"":""2.0""}'
{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32601,""message"":""the method debug_traceBlockByNumber does not exist/is not available""}}
```

Another piece of information is:

I removed the API `internal-blockchain` from the config and restarted the node.

Then I called the method `eth_getBlockByNumber` of this API:
`curl http :// 127 . 0 . 0 . 1:9123/ext/bc/23SUgLgnzQcai7ceCSnKcWQieQwkUsUpM8HrfSVG4Mk5tof8Tp/rpc   -X POST   -H ""Content-Type: application/json""   --data '{""method"":""eth_getBlockByNumber"",""params"":[""0xc"",false],""id"":1,""jsonrpc"":""2.0""}'` 

And it gave me an answer. But it was not supposed to give me an answer: it was supposed to say the method `eth_getBlockByNumber` was not availalbe because I disabled its API.

So it seems that:
1. there is an issue with the config file
2. the value is not being taken
3. the value is being overwritten


**Additional context**

    OS: ubuntu
    Version avalanchego/1.11.3",api: api unavailability,CWE-547,Use of Hard-coded,"The bug report describes a situation where the application's configuration file is being ignored. The user attempts to enable a 'debug-tracer' API and disable an 'internal-blockchain' API by editing the `eth-apis` list in a JSON configuration file. In both cases, the changes have no effect. The application behaves as if a default or different configuration is active, making the debug API unavailable and keeping the internal API available. This strongly suggests that the list of enabled APIs, a security-relevant setting, is not being read from the configuration file but is instead using a hard-coded value. This aligns directly with CWE-547, which describes the use of hard-coded constants for security-critical values, preventing them from being changed as intended by the user or administrator. CWE-755 is less appropriate because the core issue is not the handling of an exceptional condition (like an error during an operation). The error message 'the method does not exist/is not available' is a symptom of the underlying configuration problem, not a failure in exception handling logic.",closed,"The configuration settings for the RPC API are not being properly applied, leading to methods that should be disabled remaining available.","This bug can lead to unauthorized access to API methods, exposing sensitive functionalities that should be restricted, potentially allowing malicious users to exploit the system.",2240710008,2939,"April 12, 2024 6:40 PM (GMT+8)","April 14, 2024 1:14 AM (GMT+8)",['bug'],
avalanchego,FATAL chains/manager.go:350 error creating required chain,https://github.com/ava-labs/avalanchego/issues/2621,Consensus,"Hi... I set up my validator. I believe it went through boostrapping ok. 

My set up is an AWS Ubuntu VM. 
I'm running avalanche/1.10.15 [database=v1.4.5, rpcchainvm=30, commit=20f3580b4912f29adc602ad883e84897f0965cc1, go=1.21.3]

When I type in avalanchego i receive this error: 
FATAL chains/manager.go:350 error creating required chain
""error"": ""error while creating new snowman vm failed to create atomic backend: duplicated operation on provided value""",general: initialization failure,CWE-703,Improper Check or Handling of Exceptional Conditions,"The bug report describes a `FATAL` error that occurs during the application's startup sequence (`error creating required chain`). The specific error, `duplicated operation on provided value`, represents an unexpected state that the program encounters. The application's response is to terminate completely, as indicated by the `FATAL` log level and the `initialization failure` symptom. This is a direct example of failing to handle an exceptional condition. CWE-703, 'Improper Check or Handling of Exceptional Conditions', perfectly describes this scenario where the software does not properly handle a rare or unexpected state, leading to a crash. CWE-662, 'Improper Synchronization', could be the underlying root cause of the 'duplicated operation' error, but the bug report's most prominent and certain evidence is the failure to handle the resulting exception, not the synchronization issue itself. CWE-404, 'Improper Resource Shutdown or Release', is not applicable as the error occurs during resource creation and initialization, not during shutdown or release.",closed,"The error indicates that there is an issue with creating a new chain due to a duplicated operation on a provided value, which suggests that a value might be reused improperly in the context of chain creation.","This bug can prevent the validator from successfully starting and participating in the network, leading to downtime and potential loss of rewards for the validator. It may also affect the overall network stability if a significant number of validators encounter this issue.",2086813574,2621,"January 17, 2024 7:12 PM (GMT+8)","January 19, 2024 5:42 AM (GMT+8)",['bug'],
op-geth,Interop ingress filter should assign the pending timestamp to exec descriptors,https://github.com/ethereum-optimism/op-geth/issues/603,Consensus,"The ingress filter currently assigns the latest timestamp to exec descriptors:

https://github.com/ethereum-optimism/op-geth/blob/e605d07bde55b02f9e0309c330fb87500d80d06f/core/txpool/ingress_filters.go#L48

https://github.com/ethereum-optimism/op-geth/blob/e605d07bde55b02f9e0309c330fb87500d80d06f/eth/interop.go#L20-L31

This means executing messages are unnecessarily delayed by one block when the supervisor uses a stringent [access list policy](https://specs.optimism.io/interop/supervisor.html#access-list-checks), as in the [reference implementation](https://github.com/ethereum-optimism/optimism/blob/23c1fef1f0fe6b626c987eecbfa91fd5e0b66fb0/op-supervisor/supervisor/types/types.go#L344-L346).

Assigning the pending timestamp instead of the unsafe timestamp should fix the issue.",consensus: consensus inefficiency,CWE-682,Incorrect Calculation,"The bug report describes an issue where an incorrect timestamp (`latest` instead of `pending`) is assigned to execution descriptors. This incorrect value leads to an unintended consequence: an unnecessary one-block delay in message execution, which is termed a 'consensus inefficiency'. This directly aligns with CWE-682 'Incorrect Calculation', which states 'The product performs a calculation that generates incorrect or unintended results that are later used in security-critical decisions or resource management.' In this case, the 'incorrect calculation' is the selection of the wrong timestamp. This result is then used in a security-critical decision (the access list policy check, part of the consensus mechanism), leading to the unintended outcome (the delay). CWE-693 'Protection Mechanism Failure' is less accurate because the issue is not a failure of the access list policy itself, but rather incorrect data being fed into it. The problem is an inefficiency, not a failure to defend against a directed attack. CWE-841 'Improper Enforcement of Behavioral Workflow' is also incorrect as the bug is not about the sequence of operations being wrong, but about an incorrect data value being used within one of the steps.",closed,"The ingress filter incorrectly assigns the latest timestamp to execution descriptors instead of the pending timestamp, causing delays in executing messages due to stringent access list checks.","This bug can lead to unnecessary delays in message execution, adversely affecting the performance and responsiveness of the system, especially under stringent access control conditions.",3057340949,603,"May 12, 2025 3:21 PM (GMT+8)","June 3, 2025 9:55 PM (GMT+8)","['bug', 'H-interop']",
op-geth,eth_feeHistory is broken with v1.101503.0,https://github.com/ethereum-optimism/op-geth/issues/542,API,"#### System information

v1.101503.0

tried this payload
```json
{""jsonrpc"":""2.0"",""id"":1,""method"":""eth_feeHistory"",""params"":[10,""latest"",[25,75]]}
```

getting
```json
{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32603,""message"":""json: unsupported value: NaN""}}
```",api: api unavailability,CWE-755,Improper Handling of Exceptional Conditions,"The bug report indicates that a specific API call to `eth_feeHistory` results in an error: `""json: unsupported value: NaN""`. This error message is key. It shows that during the execution of the API method, a calculation resulted in a `NaN` (Not a Number) value. This `NaN` is an exceptional condition. The program then attempted to serialize this `NaN` value into a JSON response, which is not supported by the JSON standard, causing the serializer to fail and return an internal error. 

- **CWE-20 (Improper Input Validation)** is not the best fit. The input parameters `[10, ""latest"", [25, 75]]` appear to be syntactically and semantically valid for the `eth_feeHistory` method. The issue is not that the input is malformed or invalid, but rather that the internal processing of this valid input leads to an exceptional state.

- **CWE-754 (Improper Check for Unusual or Exceptional Conditions)** is a plausible candidate, as the code likely did not check if a calculation resulted in `NaN`. However, this is the root cause, not the most direct description of the failure mode.

- **CWE-755 (Improper Handling of Exceptional Conditions)** is the most accurate choice. The system successfully generated the exceptional condition (`NaN`) but then failed to handle it gracefully. Instead of catching the `NaN` and returning a more meaningful error or a default value, the program passed the unsupported value to the JSON serializer, which then crashed. This is a direct example of improperly handling an exceptional condition that has already occurred. The bug report's evidence points directly to the failure in handling, making CWE-755 the most precise classification.",closed,"The API method `eth_feeHistory` is returning an error due to an unsupported value (NaN) in the response, which suggests that there is an issue with the calculation or representation of fee history data.","The bug prevents users from retrieving the fee history, which can hinder their ability to make informed decisions about transaction fees, potentially leading to inefficient transaction processing.",2915554136,542,"March 13, 2025 1:36 AM (GMT+8)","March 13, 2025 8:00 PM (GMT+8)",['bug'],
nethermind,GetStorageRange returns both empty arrays when no slots are found,https://github.com/NethermindEth/nethermind/issues/8537,Storage,"**Description**
GetStorageRange returns both empty arrays when no slots are found which is a typical return for a missing root hash. Snap client code cannot interpret that there are not further slots for an account.

**Expected behavior**
In a case where no storage slots are found according to the request, the response should contains an empty arrays for slots and a proof for absence of the key.",api: incorrect api output,CWE-436,Interpretation Conflict,"The bug report describes a situation where an API (`GetStorageRange`) returns the same value (two empty arrays) for two different underlying states: 'no storage slots found' and 'a missing root hash'. This ambiguity causes the client consuming the API to misinterpret the state, as it 'cannot interpret that there are not further slots for an account'. This directly aligns with the definition of CWE-436, 'Interpretation Conflict', where one product (the client) performs incorrect actions based on its perception of another product's (the server's) state due to a difference in how a value is handled or interpreted. CWE-391, 'Unchecked Error Condition', is unsuitable because the issue is not that an error is ignored, but that a returned value is ambiguous. CWE-755, 'Improper Handling of Exceptional Conditions', is less precise because the core problem is not just the handling of a condition, but the specific outcome of that handling: an ambiguous representation that leads to a conflict in interpretation between the server and the client.",closed,"The GetStorageRange function does not differentiate between a missing root hash and a successful request with no storage slots, leading to ambiguous responses.","This can cause confusion in the Snap client code, making it unable to correctly interpret the absence of storage slots, which may lead to incorrect application behavior or failure to process user requests properly.",3005095577,8537,"April 18, 2025 2:40 PM (GMT+8)","May 29, 2025 3:43 PM (GMT+8)",['bug'],
nethermind,Nethermind doesn't always the right return code upon some processing errors in the engine API,https://github.com/NethermindEth/nethermind/issues/8479,API,"**Description**

A Nethermind that gets an out-of-memory issue while processing a block in the engine API, can under some circumstances return the error code `INVALID` back to the beacon node, without having fully processed the block. As a result the beacon node will think the block is indeed invalid and start building on the parent slot instead: this leads to a fork.

I believe the issue is here in the code in PayloadStatusV1 (NewPayloadHandler.cs):

```
        if (!request.TryGetBlock(out Block? block, _poSSwitcher.FinalTotalDifficulty))
        {
            if (_logger.IsWarn) _logger.Warn($""New Block Request Invalid: {request}."");
            return NewPayloadV1Result.Invalid(null, $""Block {request} could not be parsed as a block"");
        }
```

Under these circumstances, it should likely return:

```
-32603 | Internal error | Internal JSON-RPC error.
-32000 | Server error | Generic client error while processing request.
```

From https://github.com/ethereum/execution-apis/blob/main/src/engine/common.md ; I didn't check other possible errors but there can be more similar issues in the codebase.

**Additional context**

This was encountered on Sepolia and led the validators behind the affected node to be on a fork for some time. In a large-scale memory/processing event like the inactivity leak that happened once in mainnet, this could actually stuck the mainnet chain as Nethermind has > 33% market shares.

**Logs**

Beacon:

```
2025-04-05 06:01:34.372 INFO  - Retrying execution of block ebb3fe9c5fc6e5cbe00c00a36582261008e0c1472b10433476a7185f0aae7646 (7341607)
2025-04-05 06:01:39.068 INFO  -  Execution Client is responding to requests again after a previous failure 
2025-04-05 06:01:39.071 WARN  - Payload for child of block root 0xdf035ea5dbe9975298e6e3bfa692100d868dc47ffcea88fff9775e8febd5abe4 marked as invalid by Execution Client
```

Exec:

```
05 Apr 06:01:29 | Received New Block:  8054232 (0xca12a7...a82cf3)      | limit    35,964,743 👆 | Extra Data: ؃ geth go1.23.2 linux
05 Apr 06:01:36 | Processing queue wasn't empty added to queue New Block:  8054232 (0xca12a7...a82cf3).
05 Apr 06:01:39 | New Block Request Invalid: 8054232 (0xca12a7...a82cf3).
05 Apr 06:01:41 | Encountered exception System.OutOfMemoryException: Exception of type 'System.OutOfMemoryException' was thrown.
   at System.GC.AllocateNewArray(IntPtr typeHandle, Int32 length, GC_ALLOC_FLAGS flags)
   at System.Buffers.SharedArrayPool`1.Rent(Int32 minimumLength)
   at Nethermind.Evm.EvmPooledMemory.UpdateSize(UInt64 length, Boolean rentIfNeeded) in /src/Nethermind/Nethermind.Evm/EvmPooledMemory.cs:line 351
   at Nethermind.Evm.EvmPooledMemory.Save(UInt256& location, ZeroPaddedSpan& value) in /src/Nethermind/Nethermind.Evm/EvmPooledMemory.cs:line 140
   at Nethermind.Evm.VirtualMachine`1.ExecuteCode[TTracingInstructions,TTracingRefunds,TTracingStorage](EvmState vmState, EvmStack`1& stack, Int64 gasAvailable, IReleaseSpec spec) in /src/Nethermind/Nethermind.Evm/VirtualMachine.cs:line 1219
[...]
```

Thanks to folks on the Sepolia TG and Enrico Del Fante for helping with investigations.",api: incorrect api output,CWE-703,Improper Check or Handling of Exceptional Conditions,"The bug report describes a scenario where the system encounters an `OutOfMemoryException` while processing a block. This is an exceptional condition. The system's response to this exception is incorrect; it returns an `INVALID` error code instead of an internal server error code. This misclassification of the error leads to severe consequences, namely a blockchain fork. 

- **CWE-400 (Uncontrolled Resource Consumption)** is a plausible root cause for the `OutOfMemoryException` itself, but the bug report's focus is not on why the memory was exhausted, but on how the application behaved *after* the exception occurred. The weakness described is in the error handling logic, not the resource management.

- **CWE-391 (Unchecked Error Condition)** is incorrect because the error condition is not ignored. The code does check for a failure (the `if (!request.TryGetBlock(...))` block) but then handles it improperly. The error is checked, but the subsequent action is wrong.

- **CWE-703 (Improper Check or Handling of Exceptional Conditions)** is the most accurate description. An `OutOfMemoryException` is a classic exceptional condition. The software does not handle this specific exception correctly, leading it to return a misleading error status. This directly aligns with the CWE's definition of not properly handling exceptional conditions that occur during operation.",closed,"The engine API does not handle out-of-memory errors properly, leading it to return an incorrect response code of `INVALID` instead of an appropriate error code.","This can cause the beacon node to mistakenly treat a block as invalid, resulting in forks in the blockchain, which can severely disrupt the network, especially if a significant portion of nodes are affected.",2977040419,8479,"April 7, 2025 2:21 PM (GMT+8)","April 10, 2025 11:17 PM (GMT+8)","['bug', '[Pri] High']",
nethermind,No space left on device: Gracefully handle internal exceptions,https://github.com/NethermindEth/nethermind/issues/8384,API,"On ""No space left on device"" error, the node reported the block as invalid, which was sent to the CL. We should avoid propagating El's internal errors to CL.

Stacktrace:

```
Processing loop threw an exception. Block: 7923793 (0x94b38e...364d54), Exception: RocksDbSharp.RocksDbException: IO error: No space left on device: While appending to file: /data/execution/nethermind_db/sepolia/badBlocks/000008.log: No space left on device
   at Nethermind.Db.Rocks.DbOnTheRocks.SetWithColumnFamily(ReadOnlySpan`1 key, ColumnFamilyHandle cf, ReadOnlySpan`1 value, WriteFlags flags) in /src/Nethermind/Nethermind.Db.Rocks/DbOnTheRocks.cs:line 719
   at Nethermind.Core.KeyValueStoreExtensions.Set(IWriteOnlyKeyValueStore db, Int64 blockNumber, Hash256 key, ReadOnlySpan`1 value, WriteFlags writeFlags) in /src/Nethermind/Nethermind.Core/KeyValueStoreExtensions.cs:line 120
   at Nethermind.Blockchain.Blocks.BadBlockStore.Insert(Block block, WriteFlags writeFlags) in /src/Nethermind/Nethermind.Blockchain/Blocks/BadBlockStore.cs:line 26
   at Nethermind.Blockchain.BlockTree.DeleteInvalidBlock(Block invalidBlock) in /src/Nethermind/Nethermind.Blockchain/BlockTree.cs:line 688
   at Nethermind.Consensus.Processing.BlockchainProcessor.<>c__DisplayClass56_0.<ProcessBranch>g__DeleteInvalidBlocks|0(ProcessingBranch& processingBranch, Hash256 invalidBlockHash) in /src/Nethermind/Nethermind.Consensus/Processing/BlockchainProcessor.cs:line 460
   at Nethermind.Consensus.Processing.BlockchainProcessor.ProcessBranch(ProcessingBranch& processingBranch, ProcessingOptions options, IBlockTracer tracer, String& error) in /src/Nethermind/Nethermind.Consensus/Processing/BlockchainProcessor.cs:line 519
   at Nethermind.Consensus.Processing.BlockchainProcessor.Process(Block suggestedBlock, ProcessingOptions options, IBlockTracer tracer, String& error) in /src/Nethermind/Nethermind.Consensus/Processing/BlockchainProcessor.cs:line 366
   at Nethermind.Consensus.Processing.BlockchainProcessor.RunProcessingLoop() in /src/Nethermind/Nethermind.Consensus/Processing/BlockchainProcessor.cs:line 286
17 Mar 2025 23:05:14.358
 Corrupted DB detected on path /data/execution/nethermind_db/sepolia/badBlocks. Please restart Nethermind to attempt repair.
```",api: incorrect api output,CWE-755,Improper Handling of Exceptional Conditions,"The bug report details how the application behaves when it encounters a 'No space left on device' error. This is an exceptional condition. The stack trace shows a `RocksDbException` being thrown, which is not handled gracefully. Instead of managing this internal error, the application propagates it in a way that leads to incorrect logic (reporting a block as invalid) and a potentially corrupted state. The bug's title, 'Gracefully handle internal exceptions', and the description, 'We should avoid propagating El's internal errors to CL', directly point to a failure in exception handling. 

- CWE-20 is incorrect because the issue is not related to validating input data.
- CWE-400 describes the condition that triggers the error (resource exhaustion) but not the software flaw itself. The flaw is the program's *reaction* to the lack of resources, not the consumption of the resources.
- CWE-755 perfectly describes the situation: the product encounters an exceptional condition (disk full) and handles it incorrectly, leading to downstream logical errors. Therefore, it is the most accurate classification.",closed,"The node fails to gracefully handle the 'No space left on device' error when attempting to write to the database, leading to the propagation of internal exceptions to the consensus layer.","This bug can cause the node to incorrectly mark blocks as invalid, disrupt the block processing loop, and potentially lead to corruption of the database, which may require a restart to repair.",2928148988,8384,"March 18, 2025 11:20 AM (GMT+8)","April 10, 2025 11:17 PM (GMT+8)","['bug', '[Pri] High']",
